name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories,cluster,day,normalized_google_rating,weighted_rating,quantity_factor,popularity_score,cluster_max_popularity,normalized_popularity
Rachol Historical Fort Gate,"Fr. Agnelo Rd, Rachol, Goa 403719, India",4.4,253.0,ChIJL8W_HpSxvzsRaq2Kt6ZU8x4,"tourist_attraction, point_of_interest, establishment",Salcete (Margao),15.3085464,74.000897,,,"['adventure', 'historical']",3,4,0.8500000000000001,0.8499677572631009,0.5923099810124721,0.7469046467628494,0.9195891177403319,0.8122156214703662
Farmagudi Fort,"CX7Q+2PW, NH 4A, Donshiwado, Ponda, Bandiwada, Goa 403401, India",4.6,18.0,ChIJ__-_zvC6vzsRSPY1enbIgUw,"point_of_interest, establishment",Ponda,15.412509,73.9891553,,,"['adventure', 'historical']",3,4,0.8999999999999999,0.8969373865698729,0.3149567123354265,0.6641451168760943,0.9195891177403319,0.7222194174155415
Colvale Fort,"JVM2+X6H, Tivim, Goa 403502, India",3.6,159.0,ChIJuXkS_a6UvzsRRN83nTSYxJ4,"point_of_interest, establishment",Pernem,15.6350543,73.8505712,,,"['adventure', 'historical']",0,1,0.65,0.6511988146551725,0.43839953606876997,0.5660791032206115,0.9084657038498933,0.6231155461584109
Nanuz Fort,"G46M+RX3, Birondem VP, Nanuz, Goa 403506, India",4.3,15.0,ChIJ1SRNWCihvzsRFgMn8LWWgpE,"point_of_interest, establishment",Sattari (Valpoi),15.5120017,74.1349164,,,"['adventure', 'historical']",2,3,0.825,0.8260506465517241,0.26811108434198544,0.6028748216678286,0.939998873130649,0.6413569621205663
maharaja dipaji rane's fort,"H284+PP8, Zariwada Vithallapur, Vithallapur, Sanquelim, Karapur, Goa 403505, India",4.1,30.0,ChIJ41L7g-CXvzsR18Ty6YoD0_0,"point_of_interest, establishment",Bicholim,15.5667848,74.0068242,,,"['adventure', 'historical']",2,3,0.7749999999999999,0.777155172413793,0.33206873620522215,0.5991205979303647,0.939998873130649,0.6373631022928831
Aguada fort photoshoot point,"FQRF+QJR, Aguada Fort Area, Candolim, Goa 403515, India",4.5,32.0,ChIJayK1XwDBvzsROqDbHKhn5u0,"tourist_attraction, point_of_interest, establishment",Bardez (Mapusa),15.4916926,73.7739531,,,"['adventure', 'historical']",0,1,0.875,0.8739942528735632,0.3020324719139157,0.6452095404897042,0.9084657038498933,0.710218930395982
Condy Fort,"6XGC+MPX, Sirlim, Devsua, Goa 403725, India",4.6,8.0,ChIJUdbhLgCzvzsRX99wRRZe8D0,"point_of_interest, establishment",Salcete (Margao),15.2265769,73.9720064,,,"['adventure', 'historical']",3,4,0.8999999999999999,0.8935344827586205,0.23502970652029748,0.6301325722632912,0.9195891177403319,0.685232741565809
Fort of Mormugao,"CQ6V+MMV, Headland Sada, Vasco Da Gama, Goa 403803, India",3.8,75.0,ChIJL1-OdB3HvzsR4MgQ9kp6Clg,"point_of_interest, establishment",Mormugao (Vasco),15.4117376,73.7941706,,,"['adventure', 'historical']",0,1,0.7,0.7018659255898366,0.3740938845326244,0.5707571091669517,0.9084657038498933,0.6282648940385959
Chandor fort,"7354+62V, Cotta Chandor Goa, Kantivaddo Ravora, Chandor, Guirdolim, Goa 403714, India",4.4,10.0,ChIJzdTxVOStvzsR9srFXvoRiYc,"point_of_interest, establishment",Sanguem,15.2581211,74.0550595,,,"['adventure', 'historical']",3,4,0.8500000000000001,0.849255485893417,0.2564947743828059,0.6121512012891726,0.9195891177403319,0.6656790402145975
Sinquerim Fort view Point,"FQX7+2XG, Below Taj holiday village Sinquerim, beach, Aguada Fort Area, Candolim, Goa 403515, India",4.6,308.0,ChIJTYvlxXfBvzsRoLIpck2UZqE,"tourist_attraction, point_of_interest, establishment",Bardez (Mapusa),15.4975629,73.7649449,,,"['adventure', 'beaches', 'historical']",0,1,0.8999999999999999,0.8998116839638434,0.49525282235089274,0.7379881393186631,0.9084657038498933,0.8123456242665179
Reis Magos Fort Reception,"FRW5+VVP, Reis Magos, Verem, Goa 403109, India",4.3,20.0,ChIJHRjEbADBvzsRXU5We58fXGY,"point_of_interest, establishment",Tiswadi (Panaji),15.4972469,73.8094017,,,"['adventure', 'historical']",0,1,0.825,0.8258004926108373,0.2629894606254811,0.6006760798166948,0.9084657038498933,0.6611984109814508
