name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories
Baina Beach Sunset Point,"Ground floor, Menezes Souza Building, near Sanjivani Hospital, Baina, Vasco Da Gama, Mormugao, Goa 403802, India",4.3,568.0,ChIJv_vJElTHvzsR1UCX6rUIL4k,"tourist_attraction, point_of_interest, establishment",Mormugao (Vasco),15.3946396,73.8046205,,,"['beaches', 'photography']"
Aguada rocky Beach,"FQVH+43H, Goa 403001, India",4.3,501.0,ChIJk0OIhg7BvzsRy2mHWZCVDDY,"tourist_attraction, point_of_interest, establishment,beach",Bardez (Mapusa),15.4928118,73.7777471,,,['beaches']
Miramar Beach,"Miramar Cir, Miramar, Panaji, Goa 403002, India",4.3,484.0,ChIJRf6dutzAvzsRkvcEmavoYpo,"point_of_interest, establishment",Tiswadi (Panaji),15.4760717,73.8066496,,,['beaches']
Soneca Cola Beach Resort,"Cola Beach Rd, behind cola, Canacona, Kola, Goa 403702, India",4.3,481.0,ChIJ7V_1IP1PvjsRxC9dEyeFMwQ,"lodging, restaurant, point_of_interest, food, establishment",Canacona,15.0609485,73.9701669,,,"['beaches', 'food']"
Fernandes Heritage House,"Fort Area Salcette, Cotta Diasvaddo, Chandor, Guirdolim, Goa 403714, India",4.3,367.0,ChIJVd1h6pitvzsRpMu8Fjh2Paw,"tourist_attraction, point_of_interest, establishment",Sanguem,15.2558395,74.0518574,,flag,"['fort', 'historical']"
Siridao Beach View,"CVR5+VP9, Tiswadi, Siridao, Goa 403108, India",4.3,294.0,ChIJ9RqAKby4vzsRUVLFLojS6gM,"tourist_attraction, point_of_interest, establishment",Tiswadi (Panaji),15.4421588,73.8593677,,,"['beaches', 'scenic']"
Grandmother's Hole Beach,"Grandmother's Hole Beach, Goa, India",4.3,270.0,ChIJM8Wr1VbGvzsRYf0ap71yeoo,"natural_feature, establishment",Salcete (Margao),15.4049801,73.7865791,,,['beaches']
Cansaulim Beach,"8VVQ+QGQ, Cansaulim, Goa 403712, India",4.3,232.0,ChIJi07fkKC3vzsRbodJKvUTgSQ,"tourist_attraction, point_of_interest, establishment",Salcete (Margao),15.3444647,73.8888727,,,['beaches']
Hansa Beach,"Hansa Beach, Vasco Da Gama, Goa, India",4.3,194.0,ChIJs18hiNzHvzsRbzenwLDrX9M,"natural_feature, establishment",Mormugao (Vasco),15.3761369,73.8137851,,,['beaches']
Dolphin View Point,"FQQ8+FX7, Unnamed Road, Aguada Fort Area, Candolim, Goa 403515, India",4.3,132.0,ChIJrYOizHLBvzsRFGafpsTaR7o,"tourist_attraction, point_of_interest, establishment",Bardez (Mapusa),15.4886642,73.767433,,,"['fort', 'historical', 'scenic']"
Old Market Circle Clock Tower,"Margao - Ponda Hwy, Gawli Wada, Fatorda, Madgaon, Goa 403601, India",4.3,117.0,ChIJbckqcSmzvzsRCrTAlx_p9XM,"tourist_attraction, point_of_interest, establishment",Salcete (Margao),15.2835176,73.9568694,,,"['food', 'historical', 'shopping']"
Sunset Park,"9RJ6+68M, Unnamed Road, Varunapuri, Vasco Da Gama, Mormugao, Goa 403802, India",4.3,115.0,ChIJ02xTgsTHvzsRBKIIjTnsOBE,"park, point_of_interest, establishment",Mormugao (Vasco),15.3805756,73.8107895,,,"['nature', 'photography']"
Dona Paula Jetty Goa,"Dona Paula Jetty, Panaji, Goa 403004, India",4.3,85.0,ChIJNdY4U7nHvzsRfURbu9Uwoq4,"tourist_attraction, point_of_interest, establishment,viewpoint",Tiswadi (Panaji),15.4505614,73.8036167,,,"['beaches', 'scenic']"
Mill Stones of Gun Powder Factory,"GW36+43Q, Old Goa, Goa 403402, India",4.3,47.0,ChIJh0e2BPO-vzsReWmKgvI50V0,"point_of_interest, establishment",Salcete (Margao),15.5028285,73.9102318,,,['historical']
Dhadem sunset point,"74C9+CXQ, Sanvardem",4.3,44.0,ChIJe1SapR6tvzsRBdMzwbw0knM,"tourist_attraction, point_of_interest, establishment",Sanguem,15.2710992,74.1199906,,,['photography']
Reis Magos Fort Reception,"FRW5+VVP, Reis Magos, Verem, Goa 403109, India",4.3,20.0,ChIJHRjEbADBvzsRXU5We58fXGY,"point_of_interest, establishment",Tiswadi (Panaji),15.4972469,73.8094017,,,"['fort', 'historical']"
Nanuz Fort,"G46M+RX3, Birondem VP, Nanuz, Goa 403506, India",4.3,15.0,ChIJ1SRNWCihvzsRFgMn8LWWgpE,"point_of_interest, establishment",Sattari (Valpoi),15.5120017,74.1349164,,,"['fort', 'historical']"
Cola BEACH,"3X4C+FW4, Cola Beach Rd, Kola, Goa 403702, India",4.3,12.0,ChIJE5zySQBPvjsRQwQQfA_mt6I,"tourist_attraction, point_of_interest, establishment",Canacona,15.0561288,73.9723403,,,['beaches']
Palolem,"226C+VG5, Inside of Palolem Beach Resort, Palolem, Canacona - Goa Cancona, Palolem, Canacona, Goa 403702, India",4.3,7.0,ChIJJafqPTlFvjsR6D6gcWgoETM,"tourist_attraction, point_of_interest, establishment",Canacona,15.012134,74.02137,,,['beaches']
